"","index","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","red_wine","quality"
"11",11,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,0,7.9418
"13",13,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,0,7.55966666666666
"16",16,9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,0,7.3924
"17",17,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,1,7.33916666666667
"20",20,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,1,7.0868
"9",9,6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,0,5.45283333333333
"12",12,5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,0,5.16733333333333
"6",6,6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,0,5.13823333333333
"5",5,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,0,5.12543333333334
"7",7,6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,0,5.1249
"15",15,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,0,4.61096666666666
"8",8,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,1,4.60723333333333
"19",19,10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,1,4.5277
"10",10,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,1,4.5121
"14",14,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,0,4.13313333333333
"3",3,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,1,4.02193333333333
"18",18,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,0,3.99503333333333
"4",4,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,1,3.88383333333333
"2",2,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,1,3.78613333333333
"1",1,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,1,3.74323333333333
